longitude,latitude,property_type,room_type,price,minimum_nights,availability_30,availability_60,number_of_reviews,review_scores_rating,neighbourhood,bedrooms,bathrooms
-122.43334,37.77518,Apartment,Entire home/apt,$90.00,30,0,21,97,91,Western Addition/NOPA,0,1
-122.40443,37.79309,Hostel,Shared room,$45.00,1,4,14,395,94,Financial District,1,1
-122.43143,37.77588,Apartment,Entire home/apt,$105.00,30,0,0,52,89,Western Addition/NOPA,1,1
-122.41855,37.77026,Apartment,Entire home/apt,$270.00,30,13,43,30,99,SoMa,1,1
-122.43298,37.77388,Apartment,Entire home/apt,$100.00,30,0,12,19,96,Western Addition/NOPA,0,1
-122.42532,37.73137,House,Private room,$37.00,30,14,44,35,84,Excelsior,1,1
-122.42473,37.73128,House,Private room,$40.00,30,0,13,9,100,Excelsior,1,1
-122.42494,37.73048,House,Private room,$45.00,30,0,0,35,88,Excelsior,1,1
-122.43375,37.73838,House,Entire home/apt,$135.00,3,5,29,381,98,Glen Park,1,1
-122.42457,37.73134,House,Private room,$57.00,30,0,0,23,82,Excelsior,1,1
-122.41927,37.75615,Apartment,Private room,$75.00,30,24,54,91,95,Mission District,1,2
-122.44252,37.77065,Apartment,Entire home/apt,$140.00,30,8,12,22,98,Haight-Ashbury,1,1
-122.44618,37.78493,Condominium,Entire home/apt,$83.00,30,0,0,16,94,Western Addition/NOPA,1,1
-122.42547,37.73152,House,Private room,$45.00,30,0,0,20,78,Excelsior,1,1
-122.44358,37.78528,House,Private room,$90.00,1,9,11,93,97,Western Addition/NOPA,1,1
-122.50952,37.77483,Apartment,Entire home/apt,$85.00,30,0,0,8,97,Richmond District,0,1
-122.44445,37.75969,Guest suite,Entire home/apt,$85.00,5,7,15,251,95,The Castro,1,1
-122.42898,37.7455,Guest suite,Private room,$115.00,2,5,12,352,99,Noe Valley,1,1
-122.44929,37.76194,Apartment,Entire home/apt,$201.00,30,0,1,95,95,Cole Valley,2,1.5
-122.42476,37.79176,Apartment,Private room,$59.00,30,14,14,133,94,Pacific Heights,1,0
-122.42439,37.76809,Apartment,Entire home/apt,$185.00,4,0,0,380,96,Mission District,2,1
-122.42518,37.75629,Apartment,Entire home/apt,$450.00,4,0,0,11,100,Mission District,3,2
-122.40664,37.79297,House,Shared room,$30.00,30,0,0,6,97,Chinatown,1,2.5
-122.49852,37.75754,House,Private room,$85.00,45,29,59,4,80,Outer Sunset,1,1
-122.41515,37.78535,Apartment,Entire home/apt,$130.00,30,8,38,60,99,Tenderloin,2,2
-122.46435,37.73327,Guest suite,Entire home/apt,$125.00,2,18,40,359,94,Balboa Terrace,2,1
-122.38922,37.71549,House,Entire home/apt,$120.00,30,0,12,9,94,Bayview,2,1
-122.40659,37.79294,House,Shared room,$30.00,30,0,0,15,95,Chinatown,1,2.5
-122.43005,37.76102,Condominium,Private room,$125.00,1,15,28,569,97,The Castro,1,1
-122.4083,37.80591,Condominium,Entire home/apt,$125.00,30,0,8,9,98,Telegraph Hill,1,1
-122.43109,37.77083,Apartment,Entire home/apt,$200.00,30,0,0,36,99,Lower Haight,1,1
-122.44494,37.76813,Apartment,Entire home/apt,$150.00,30,0,0,82,97,Haight-Ashbury,3,1
-122.43565,37.75887,Apartment,Entire home/apt,$328.00,3,0,3,151,99,The Castro,1,1
-122.45126,37.76609,Apartment,Private room,$65.00,32,30,60,11,87,Cole Valley,1,4
-122.42092,37.75586,Apartment,Entire home/apt,$97.00,30,20,27,86,98,Mission District,1,1
-122.42299,37.73974,House,Private room,$69.00,1,9,29,125,96,Bernal Heights,1,1
-122.42589,37.80356,Condominium,Entire home/apt,$300.00,4,0,4,72,97,Marina,2,1
-122.47597,37.7806,House,Entire home/apt,$550.00,4,0,0,18,94,Richmond District,3,1.5
-122.46474,37.7879,House,Entire home/apt,$594.00,7,0,0,0,NA,Richmond District,4,3.5
-122.42456,37.74708,House,Private room,$102.00,30,0,0,233,97,Noe Valley,1,1
-122.47435,37.76463,Apartment,Entire home/apt,$150.00,30,27,57,14,96,Inner Sunset,1,1.5
-122.42953,37.75559,House,Entire home/apt,"$1,200.00",6,0,7,27,98,The Castro,4,2
-122.4042,37.79835,Apartment,Entire home/apt,$150.00,30,30,51,67,93,Telegraph Hill,1,1
-122.43273,37.75823,House,Private room,$150.00,5,0,12,64,99,The Castro,1,1
-122.41624,37.73874,Apartment,Private room,$90.00,2,5,15,151,97,Bernal Heights,1,1.5
-122.48125,37.78471,Condominium,Entire home/apt,$399.00,4,7,17,186,98,Richmond District,2,1
-122.42506,37.79336,Apartment,Private room,$56.00,30,8,38,119,94,Pacific Heights,1,NA
-122.44532,37.74599,Apartment,Entire home/apt,$230.00,30,0,0,108,92,Diamond Heights,2,1.5
-122.43172,37.76787,Apartment,Entire home/apt,$275.00,5,0,0,19,99,Duboce Triangle,2,1
-122.4275,37.80094,Apartment,Entire home/apt,$165.00,60,0,0,109,85,Cow Hollow,1,1
-122.44928,37.75195,Apartment,Entire home/apt,$115.00,30,0,0,90,82,Twin Peaks,1,1
-122.41876,37.76202,Apartment,Entire home/apt,$148.00,30,10,10,119,94,Mission District,2,1
-122.39391,37.762,Townhouse,Private room,$75.00,3,0,0,224,99,Potrero Hill,1,1
-122.50378,37.77761,Apartment,Entire home/apt,$149.00,1,21,42,236,95,Richmond District,1,1
-122.46578,37.74159,House,Private room,$69.00,5,13,27,355,97,West Portal,1,1
-122.43239,37.76194,Guesthouse,Entire home/apt,$220.00,30,29,59,159,96,The Castro,1,1
-122.44678,37.76827,Apartment,Entire home/apt,$185.00,30,12,42,155,97,Haight-Ashbury,1,1
-122.40475,37.79018,Apartment,Entire home/apt,$110.00,30,0,0,24,87,Financial District,0,1
-122.40403,37.79076,Apartment,Entire home/apt,$135.00,30,6,21,50,94,Financial District,0,1
-122.42325,37.73143,House,Private room,$37.00,30,18,48,10,83,Excelsior,1,1
-122.40781,37.79675,Apartment,Entire home/apt,$135.00,30,0,5,63,97,Chinatown,2,1
-122.43677,37.73626,Apartment,Entire home/apt,$220.00,3,9,22,234,97,Glen Park,2,1
-122.41939,37.75757,Apartment,Private room,$75.00,29,29,59,128,96,Mission District,1,2
-122.41687,37.73856,Apartment,Private room,$90.00,2,5,15,170,98,Bernal Heights,1,1.5
-122.42977,37.80318,Apartment,Entire home/apt,$150.00,5,0,2,40,97,Marina,1,1
-122.44979,37.77311,Guest suite,Entire home/apt,$138.00,2,10,27,469,97,Western Addition/NOPA,1,1
-122.41187,37.74557,Apartment,Private room,$80.00,6,0,0,198,99,Bernal Heights,1,1.5
-122.40485,37.8034,Condominium,Entire home/apt,$182.00,30,0,25,2,100,Telegraph Hill,1,1
-122.43326,37.77756,Apartment,Entire home/apt,$136.00,30,0,0,213,97,Alamo Square,1,1.5
-122.40498,37.79507,House,Shared room,$30.00,30,0,0,9,100,Chinatown,1,2.5
-122.40523,37.79466,House,Shared room,$30.00,30,0,0,6,97,Chinatown,1,2.5
-122.40637,37.79291,House,Shared room,$30.00,30,0,0,3,80,Chinatown,1,2.5
-122.43776,37.74446,House,Entire home/apt,$295.00,2,7,18,374,96,Noe Valley,3,1
-122.48971,37.78265,Apartment,Private room,$79.00,30,0,0,28,96,Richmond District,1,2.5
-122.4144,37.80242,Guest suite,Entire home/apt,$165.00,3,0,0,468,96,North Beach,1,1
-122.44963,37.77118,House,Private room,$92.00,1,13,38,463,93,Haight-Ashbury,1,2
-122.40882,37.75551,Condominium,Entire home/apt,$178.00,5,0,0,11,100,Mission District,2,2
-122.44942,37.77108,House,Private room,$98.00,1,11,33,430,91,Haight-Ashbury,1,2
-122.44811,37.77085,House,Private room,$78.00,1,7,24,476,89,Haight-Ashbury,1,2
-122.43817,37.76146,Apartment,Entire home/apt,$325.00,30,29,59,38,96,The Castro,3,2
-122.41773,37.74382,House,Entire home/apt,$147.00,5,0,0,49,99,Bernal Heights,1,1
-122.43468,37.72652,House,Private room,$75.00,2,0,0,90,91,Mission Terrace,1,2
-122.44523,37.76468,Apartment,Entire home/apt,$110.00,30,11,41,44,94,Haight-Ashbury,0,1
-122.45019,37.77042,House,Private room,$78.00,1,11,30,423,89,Haight-Ashbury,1,2
-122.4154,37.80281,Condominium,Private room,$139.00,2,3,17,200,95,Russian Hill,1,2.5
-122.40478,37.75632,House,Entire home/apt,$145.00,2,3,11,101,98,Mission District,1,1
-122.43086,37.7684,Apartment,Private room,$99.00,3,0,0,191,96,Duboce Triangle,1,1
-122.45193,37.76968,Apartment,Private room,$120.00,1,17,43,105,99,Haight-Ashbury,1,0.5
-122.4034,37.79341,Hostel,Shared room,$45.00,1,19,49,358,93,Financial District,1,NA
-122.41566,37.73819,Apartment,Entire home/apt,$135.00,30,0,0,18,97,Bernal Heights,1,1
-122.41029,37.79114,Townhouse,Entire home/apt,$989.00,2,3,18,63,89,Nob Hill,4,4
-122.44022,37.75565,Apartment,Entire home/apt,$250.00,30,5,28,77,99,The Castro,1,1
-122.46444,37.75855,Guest suite,Entire home/apt,$99.00,30,0,0,113,98,Inner Sunset,1,1
-122.41581,37.80301,Condominium,Private room,$99.00,2,14,29,216,96,Russian Hill,1,1
-122.50435,37.74174,Guest suite,Entire home/apt,$135.00,3,13,37,203,95,Outer Sunset,1,1
-122.40383,37.79271,Hostel,Shared room,$45.00,1,25,50,316,94,Financial District,1,0
-122.40635,37.77499,Apartment,Entire home/apt,$160.00,3,0,4,62,97,SoMa,1,1
-122.40863,37.79532,Apartment,Entire home/apt,$135.00,30,7,7,72,97,Chinatown,2,1
-122.41942,37.78304,Condominium,Entire home/apt,$136.00,30,0,28,8,90,Tenderloin,1,1
-122.39539,37.75889,Condominium,Entire home/apt,$280.00,6,0,0,23,98,Potrero Hill,3,1
-122.44215,37.76188,Condominium,Private room,$139.00,1,18,41,592,98,The Castro,1,1
-122.45504,37.77579,Guest suite,Private room,$100.00,2,15,39,307,97,Richmond District,1,1
-122.40714,37.80134,Apartment,Private room,$89.00,2,5,23,365,88,Telegraph Hill,1,1
-122.40374,37.7947,Hostel,Shared room,$45.00,1,15,38,232,92,Financial District,1,NA
-122.40473,37.79441,Hostel,Shared room,$45.00,1,22,46,211,94,Financial District,1,NA
-122.45368,37.7647,Apartment,Entire home/apt,$114.00,30,0,0,13,90,Cole Valley,1,1
-122.42025,37.78322,Condominium,Entire home/apt,$138.00,30,0,0,1,80,Tenderloin,0,1
-122.43974,37.76294,Apartment,Private room,$115.00,2,20,45,184,95,The Castro,1,1.5
-122.45151,37.76711,Apartment,Entire home/apt,$250.00,2,0,0,122,95,Cole Valley,1,1
-122.40506,37.77899,Condominium,Entire home/apt,$133.00,30,8,38,102,98,SoMa,1,1
-122.50707,37.75553,Apartment,Shared room,$35.00,30,0,0,134,91,Outer Sunset,1,1.5
-122.39967,37.75612,Condominium,Entire home/apt,$325.00,4,0,0,33,98,Potrero Hill,2,2
-122.50358,37.75346,House,Private room,$89.00,3,9,13,75,95,Outer Sunset,1,1
-122.42592,37.76833,Apartment,Private room,$97.00,2,0,0,54,97,Mission District,1,1
